"Time","Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C","Ax3, g","Ay3, g","Az3, g","Wx3, dps","Wy3, dps","Wz3, dps","T3, C"
"22:28:33","-0.124684","0.001159","-0.001586","0.00875","-0.11375","-0.223125","17.625","-0.125538","-0.00122","0.000854","0.10062501","0.38499999","0.04375","17.5","-0.12810001","-0.000671","0.000183","-0.1575","-0.27125","-0.153125","16.5625"
"22:28:33","-0.12527487","0.00082024","-0.00376645","0.0250109","-0.1482448","-0.23606894","17.65958595","-0.1255992","-0.00015934","0.00041624","0.08765247","0.39098546","0.04515116","17.53703689","-0.12785985","-0.00047378","-2.312e-05","-0.15688068","-0.26900994","-0.15687117","16.61260986"
"22:28:34","-0.12419683","0.00087161","-0.00184217","0.02247878","-0.14554526","-0.2360177","17.65591812","-0.12545447","-0.00011695","0.00032624","0.08778797","0.39024827","0.04214306","17.55188369","-0.12789064","-0.00054227","-5.686e-05","-0.15615343","-0.26996817","-0.15918149","16.62632751"
"22:28:35","-0.12466902","0.00079261","-0.00258479","0.02725318","-0.15112792","-0.23957529","17.65260124","-0.12557793","-9.144e-05","0.00032391","0.0896921","0.39052686","0.0419666","17.54392242","-0.12785654","-0.0005319","-5.893e-05","-0.15611622","-0.26980104","-0.15923709","16.63176727"
"22:28:36","-0.1252135","0.00090059","-0.00273734","0.02659441","-0.14762365","-0.24020605","17.65997314","-0.12558853","-0.00016301","0.00037872","0.0914747","0.38892831","0.04146012","17.54893684","-0.12789199","-0.00055731","-6.399e-05","-0.15610394","-0.27087769","-0.15925948","16.61183547"
"22:28:37","-0.12507479","0.00089648","-0.00247225","0.0233612","-0.14984602","-0.23989121","17.65207099","-0.12553752","-0.00012744","0.00029024","0.09188433","0.38947749","0.03967225","17.54073715","-0.12787184","-0.0005231","-4.766e-05","-0.15639488","-0.27022819","-0.16008248","16.62314224"
"22:28:38","-0.12423175","0.00094349","-0.00197984","0.02011944","-0.14496015","-0.23778257","17.66361427","-0.12555024","-0.00020541","0.00040641","0.0897107","0.3895981","0.04231956","17.533041","-0.12788619","-0.00054745","-1.386e-05","-0.15675712","-0.26963374","-0.15930237","16.63402366"
"22:28:39","-0.12483103","0.00076917","-0.00272026","0.02227442","-0.13786357","-0.23319406","17.66348266","-0.12558896","-8.198e-05","0.00033064","0.09232085","0.39077758","0.04191083","17.5425949","-0.12788128","-0.00055055","-5.193e-05","-0.15671067","-0.2704883","-0.15976662","16.64384269"
"22:28:40","-0.12454305","0.00067347","-0.00202819","0.02283377","-0.14371411","-0.23767416","17.65106391","-0.12555361","0.0001011","0.00026243","0.08628988","0.39164624","0.04296809","17.5398941","-0.12790602","-0.00050085","-4.594e-05","-0.15648553","-0.27053337","-0.15908266","16.63311195"
"22:28:41","-0.12515579","0.00077733","-0.00257741","0.0132086","-0.12983809","-0.22782511","17.66812705","-0.12565138","-3.264e-05","0.00046352","0.09266448","0.38843693","0.04085195","17.54777145","-0.1279125","-0.00056467","-7.356e-05","-0.15640415","-0.27017235","-0.15869846","16.61478233"
