"Time","Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C","Ax3, g","Ay3, g","Az3, g","Wx3, dps","Wy3, dps","Wz3, dps","T3, C"
"18:24:45","0.0","0.00061","0.12456201","0.030625","-0.14875","-0.240625","17.75","-0.000183","0.000549","0.12639199","0.105","0.371875","0.02625","17.625","-0.00183","-0.001037","0.126209","-0.153125","-0.27562499","-0.1575","16.8125"
"18:24:45","-0.0005179","0.00077479","0.12446688","0.02660268","-0.14997003","-0.24099671","17.7024784","2.13e-06","0.00072655","0.12603445","0.099729","0.38084416","0.02313315","17.63126373","-0.00160248","-0.00036161","0.12614297","-0.15341117","-0.28117222","-0.15982599","16.80119895"
"18:24:46","-0.00079948","0.00067372","0.12484706","0.03098728","-0.15484338","-0.24356029","17.7170906","-5.297e-05","0.00072112","0.12601821","0.09853503","0.37910184","0.02137339","17.62473487","-0.00165464","-0.00038063","0.12613469","-0.15398917","-0.28136548","-0.15960886","16.80175209"
"18:24:47","-0.00020058","0.00076444","0.12483448","0.01721265","-0.13796086","-0.23446109","17.71199607","-4.355e-05","0.00077775","0.12586436","0.0994941","0.37982792","0.02305215","17.6302967","-0.00165967","-0.00039185","0.12615954","-0.15268959","-0.28146455","-0.15963214","16.79488945"
"18:24:48","-3.37e-06","0.00061181","0.12491542","0.00744957","-0.1232338","-0.22571649","17.71828651","-3.173e-05","0.00054447","0.12606769","0.09746687","0.37977063","0.02302678","17.6369419","-0.00166669","-0.00041029","0.12612305","-0.15413774","-0.28130049","-0.15990592","16.81382751"
"18:24:49","0.00065536","0.0004995","0.126094","0.03474974","-0.16575877","-0.24812378","17.69981384","-5.35e-05","0.00075035","0.12593805","0.10197825","0.37894713","0.02129102","17.62950134","-0.00170748","-0.0003439","0.12615931","-0.15447854","-0.28012979","-0.15951146","16.82507896"
"18:24:50","-0.00037104","0.00070589","0.12472434","0.02818723","-0.14957489","-0.24358191","17.71186447","-4.032e-05","0.0008867","0.1258774","0.10048596","0.37957768","0.02118906","17.61877632","-0.00165398","-0.00035734","0.12612154","-0.15369063","-0.28109402","-0.15967846","16.81581115"
"18:24:51","-0.00014707","0.00041718","0.12392543","0.03018935","-0.15762978","-0.24518527","17.70458221","-2.58e-06","0.00058971","0.12605893","0.0995683","0.37977228","0.02275556","17.61679077","-0.00164002","-0.00042118","0.1261307","-0.15306972","-0.28127908","-0.15885366","16.81091117"
"18:24:52","0.00040213","0.00044358","0.12527461","0.03107086","-0.1611134","-0.24643979","17.70607757","-2.487e-05","0.00090088","0.12594668","0.10097799","0.37923183","0.02146627","17.61703872","-0.0016641","-0.00040913","0.12615168","-0.15407288","-0.28061299","-0.15983169","16.78675651"
"18:24:53","-0.00010623","0.00057343","0.12516467","0.0282614","-0.15762972","-0.24340584","17.70656776","2.856e-05","0.00062603","0.1260398","0.10256226","0.37908613","0.02148567","17.62870788","-0.00165075","-0.00035773","0.12613977","-0.15361656","-0.28044505","-0.15983599","16.79369735"
"18:24:54","-0.00049007","0.00120708","0.12548356","0.02460011","-0.15008467","-0.23967962","17.68895721","-5.027e-05","0.00070564","0.12600231","0.10037475","0.37943873","0.02207891","17.63850593","-0.00166315","-0.00037182","0.12613486","-0.15408004","-0.27996292","-0.16025303","16.77966117"
