"Time","Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C","Ax3, g","Ay3, g","Az3, g","Wx3, dps","Wy3, dps","Wz3, dps","T3, C"
"19:26:49","0.000854","0.12352501","-0.001952","0.035","-0.17062499","-0.23624999","17.0625","-0.001464","0.12694098","0.001952","0.105","0.380625","0.0175","16.9375","-0.002013","0.124928","0.002379","-0.1575","-0.28874998","-0.1575","16.0"
"19:26:49","0.00153231","0.12352896","-0.00128034","0.01770968","-0.14185871","-0.23294258","17.08238029","-0.0011299","0.1265738","0.00180249","0.09875681","0.37807071","0.02173201","16.92633438","-0.00178375","0.1247353","0.00233129","-0.15559388","-0.28288798","-0.16146531","16.03009223"
"19:26:50","0.00099228","0.12364716","-0.00068134","0.0265466","-0.15373664","-0.23813166","17.0756092","-0.00116843","0.12660278","0.00197087","0.10067127","0.37814059","0.02195841","16.92412567","-0.00178632","0.12473452","0.00232575","-0.154636","-0.2847459","-0.16194914","16.02065658"
"19:26:51","0.00101606","0.12390266","-0.00142251","0.03010592","-0.15239276","-0.23890099","17.07190132","-0.00125528","0.12707028","0.00189384","0.10255296","0.37840964","0.02129104","16.90439605","-0.00186696","0.12473918","0.00231658","-0.154117","-0.2833369","-0.1615228","16.02065658"
"19:26:52","0.0009659","0.1234072","-0.00081295","0.04570062","-0.17275223","-0.24847404","17.07510566","-0.00116159","0.126759","0.0019656","0.1009129","0.37817306","0.02055597","16.90578651","-0.00181329","0.12471909","0.00233833","-0.15491805","-0.28287946","-0.16203294","16.01154518"
"19:26:53","0.00158897","0.12368968","-0.00027114","0.02777939","-0.15039052","-0.23543434","17.05402565","-0.00112178","0.12655974","0.00183465","0.09944782","0.37817797","0.02204183","16.92214012","-0.00178011","0.12473143","0.00227561","-0.15501608","-0.2842266","-0.16150438","16.01880264"
"19:26:54","0.00113444","0.12315118","-0.00193455","0.02676906","-0.15185509","-0.23724169","17.04396247","-0.00110097","0.12650324","0.00188273","0.09875261","0.3779","0.02096662","16.89923286","-0.00184473","0.12470455","0.00234979","-0.15496976","-0.28354072","-0.16200487","16.00820922"
"19:26:55","0.0015586","0.1235653","-0.00104553","0.03313693","-0.15499724","-0.23852088","17.06144142","-0.0011767","0.12678937","0.00187782","0.10586211","0.376797","0.01830638","16.92028617","-0.00178244","0.12473866","0.00228466","-0.15447849","-0.28400419","-0.16173613","16.01363945"
"19:26:56","0.00110769","0.12346338","-0.00137612","0.02766817","-0.1520312","-0.23786263","17.05548286","-0.00121044","0.1267981","0.00178348","0.10319255","0.37666702","0.01982651","16.93233489","-0.00182418","0.12469806","0.00232472","-0.15490489","-0.28366127","-0.16120777","16.03217697"
"19:26:57","0.00139201","0.1236646","-0.00154994","0.03633475","-0.16333024","-0.24417498","17.06461906","-0.00119273","0.1266426","0.00198095","0.10227497","0.37809469","0.02038266","16.90691184","-0.00179317","0.12472184","0.00230508","-0.15422821","-0.28371694","-0.16113351","16.01535987"
"19:26:58","0.00121031","0.12364425","-0.00115538","0.04010727","-0.16416443","-0.24395263","17.05720329","-0.00114776","0.12676696","0.00182108","0.1042029","0.37656509","0.01981725","16.91763687","-0.00181346","0.12475547","0.00231089","-0.15502548","-0.2827716","-0.16183798","16.02277565"
"19:26:59","0.00066997","0.12351554","-0.00158845","0.03458376","-0.15758324","-0.24324259","17.04888916","-0.00119808","0.126511","0.00214274","0.1021511","0.3772948","0.02514008","16.90010643","-0.00184883","0.12471082","0.00234431","-0.15477168","-0.28296911","-0.16204171","16.00621032"
"19:27:00","0.00089691","0.12320519","-0.00206263","0.02991127","-0.15368118","-0.24105129","17.05746841","-0.00115551","0.12669756","0.00194593","0.10140361","0.3791234","0.02440544","16.9063816","-0.00177288","0.12470105","0.00229319","-0.1545806","-0.28304023","-0.16254248","16.00635528"
"19:27:01","0.00119855","0.12360889","-0.00060134","0.03171875","-0.15755562","-0.24064364","17.04833221","-0.00114931","0.12674154","0.00194812","0.10164462","0.37764024","0.01974309","16.91750526","-0.00174121","0.12478003","0.00232834","-0.15483079","-0.28373541","-0.16269077","15.99774932"
"19:27:02","0.00157333","0.12373744","-0.00033188","0.0343975","-0.15804685","-0.24168174","17.050848","-0.00117283","0.12669275","0.00190547","0.1003933","0.37831702","0.02155057","16.89367103","-0.00176861","0.12474577","0.00232407","-0.1543766","-0.28336477","-0.16130043","15.9986763"
"19:27:03","0.0011696","0.12337101","-0.00110834","0.02256092","-0.1448199","-0.23552699","17.0613079","-0.00113328","0.12662087","0.00189462","0.10208022","0.37840046","0.0217174","16.90717697","-0.00179485","0.1247199","0.00227742","-0.15513663","-0.28352224","-0.16220879","15.9988079"
"19:27:04","0.00143079","0.12364702","-0.0006635","0.02743641","-0.14773965","-0.23591637","17.06660461","-0.00116805","0.12684048","0.00182173","0.10204316","0.37907717","0.0220233","16.89406776","-0.00186089","0.12468397","0.00235251","-0.15465456","-0.28331853","-0.16216237","16.00476646"
"19:27:05","0.00042791","0.12360006","-0.00222954","0.02722533","-0.15502924","-0.23847005","17.07231903","-0.00112675","0.12660729","0.00186652","0.10249204","0.37877664","0.02115975","16.90140724","-0.00179827","0.12470315","0.00229313","-0.15508513","-0.28240571","-0.16194015","16.01738357"
"19:27:06","0.00054448","0.12345021","-0.00232188","0.02789062","-0.15114147","-0.23717691","17.05707168","-0.00108378","0.12669403","0.00186968","0.09951272","0.37999458","0.02367319","16.91207695","-0.00177727","0.12469844","0.00228505","-0.15502549","-0.28257675","-0.1620418","16.00926971"
"19:27:07","0.00114814","0.12357901","-0.00100534","0.02612952","-0.14882409","-0.23840956","17.07455062","-0.00122827","0.12660683","0.00201106","0.10289598","0.37875266","0.02173595","16.91459274","-0.00180971","0.12473335","0.00230223","-0.15531272","-0.28340185","-0.16187506","16.01774406"
"19:27:08","0.00052974","0.12352339","-0.00186451","0.02817796","-0.15087265","-0.23926248","17.06620788","-0.00116727","0.12678751","0.00192241","0.10059715","0.37931787","0.02248676","16.89631843","-0.0017668","0.12475249","0.00227961","-0.15467314","-0.2841526","-0.16148569","16.02145195"
"19:27:09","0.0009883","0.12357308","-0.00215339","0.02191215","-0.14523881","-0.2338629","17.06621551","-0.00111535","0.1268207","0.00182353","0.10002117","0.37990043","0.02316613","16.90950012","-0.00180876","0.12480598","0.00230323","-0.15461137","-0.28435638","-0.16156864","16.01366806"
"19:27:10","0.00143828","0.12352426","-0.00146969","0.03323885","-0.1574629","-0.24148709","17.0691204","-0.00113949","0.1266354","0.00191698","0.10552829","0.3780111","0.02051242","16.92319869","-0.00177158","0.1247786","0.00229383","-0.1549977","-0.28308666","-0.16168982","16.01072502"
"19:27:11","0.00095985","0.12367241","-0.00089962","0.02470207","-0.14835144","-0.23672266","17.06951713","-0.00115461","0.12656933","0.00196195","0.10105133","0.37711186","0.02090173","16.90545463","-0.00175892","0.12473465","0.00227393","-0.15472874","-0.28316998","-0.1618473","16.00264739"
"19:27:12","0.00148868","0.12332838","-0.00069982","0.04470476","-0.17005032","-0.24689095","17.05707168","-0.00117528","0.12689869","0.00184874","0.10297009","0.37843754","0.02219939","16.90466117","-0.00181152","0.12471411","0.00230624","-0.15496051","-0.28368904","-0.16170812","16.02118682"
"19:27:13","0.00131499","0.12342334","-0.0010401","0.03221926","-0.16019726","-0.24100501","17.0613079","-0.0010529","0.12682877","0.00173695","0.10264567","0.37853016","0.02342292","16.89751052","-0.00183065","0.12468423","0.00233105","-0.15458045","-0.28364295","-0.16182893","16.00701713"
"19:27:14","0.00057989","0.1231849","-0.00246766","0.03866127","-0.1679185","-0.24359102","17.06051445","-0.00115732","0.12680296","0.00195446","0.09907708","0.37879891","0.02459083","16.89499473","-0.00178774","0.12474433","0.00229125","-0.15505319","-0.28342933","-0.16134677","16.01827239"
"19:27:15","0.00101516","0.12328308","-0.00234591","0.02849312","-0.15387583","-0.2405972","17.08871841","-0.0011665","0.12674458","0.00186063","0.09917902","0.37851157","0.02408102","16.89486312","-0.00182431","0.1246832","0.00229926","-0.15403349","-0.28332777","-0.16168057","16.01708221"
"19:27:16","0.00133192","0.12391651","-0.00068625","0.02711203","-0.15192928","-0.23827996","17.08024406","-0.00110239","0.12684109","0.00185404","0.10084747","0.37917909","0.02266285","16.90320396","-0.00181023","0.12469393","0.00231774","-0.15500681","-0.28352236","-0.16165261","16.01694869"
"19:27:17","0.00084444","0.12353972","-0.00156571","0.03503707","-0.16124464","-0.24318327","17.08434867","-0.00110769","0.12679327","0.0018596","0.1047868","0.37780694","0.02023435","16.88320922","-0.00183168","0.12471177","0.00233467","-0.1543766","-0.28459739","-0.16141158","16.02237892"
"19:27:18","0.00123202","0.12360529","-0.00141114","0.04022776","-0.16566607","-0.24568593","17.08156776","-0.00108004","0.12672171","0.00182897","0.10005961","0.37853014","0.02279263","16.90042304","-0.00185624","0.12468862","0.00229306","-0.1543579","-0.28523704","-0.16178236","16.00145721"
"19:27:19","0.00135103","0.12364996","-0.00151262","0.04401822","-0.16952428","-0.2482002","17.07980918","-0.00119769","0.12662296","0.00198295","0.10107823","0.37937626","0.02792416","16.90816688","-0.00180769","0.12473982","0.00229363","-0.15473455","-0.28377399","-0.16152363","16.01030731"
"19:27:20","0.00138798","0.12310587","-0.00166228","0.0485709","-0.17693199","-0.25168786","17.08147621","-0.00113232","0.12678418","0.00193193","0.10001187","0.37839565","0.02212579","16.90007972","-0.00180604","0.12474436","0.00231774","-0.15483445","-0.28394756","-0.16155933","16.0106163"
"19:27:21","0.00210592","0.12340757","-0.00053685","0.03667771","-0.16113355","-0.24201526","17.07335853","-0.0010918","0.126786","0.00181708","0.1020153","0.3793646","0.0235805","16.89142036","-0.00180221","0.12473386","0.00233028","-0.15439504","-0.28438426","-0.16213455","15.99841117"
"19:27:22","0.00092211","0.12352356","-0.00139085","0.02346929","-0.14481995","-0.23498954","17.09189605","-0.00124145","0.12699104","0.00183065","0.10137575","0.37953102","0.02262578","16.9115467","-0.00183724","0.12471617","0.0023264","-0.15468258","-0.28409686","-0.16131892","16.01774406"
"19:27:23","0.00144797","0.12358968","-0.00127816","0.02062368","-0.14510729","-0.23529515","17.08249473","-0.00120992","0.12691504","0.00176551","0.10250662","0.3789565","0.02145787","16.91353225","-0.00177391","0.12479398","0.00229758","-0.15547959","-0.2832162","-0.16180091","16.02145195"
"19:27:24","0.00061763","0.12344105","-0.00183323","0.03106991","-0.15686042","-0.24134802","17.09613418","-0.00109154","0.12676448","0.00179252","0.10379495","0.3794847","0.02282044","16.92240524","-0.00181204","0.12469922","0.00231438","-0.1553313","-0.28333687","-0.16236627","16.00370788"
