Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C","Ax3, g","Ay3, g","Az3, g","Wx3, dps","Wy3, dps","Wz3, dps","T3, C"
19:56:53,-0.00016214,0.00044283,0.00065339,0.00898711,-0.01212002,-0.00631101,18.02505493,-2.02E-05,0.00028191,4.57E-06,0.00043665,0.00020123,0.00110601,17.93364524,-9.14E-06,-2.46E-05,7.53E-05,-3.85E-05,-6.01E-05,-0.00042142,17.07502746
19:56:54,0.00010299,0.00039267,0.00051633,0.00073096,-0.00562462,-0.00516789,18.03442764,-8.86E-06,0.00020234,-5.77E-05,0.00128143,-0.00044888,0.00021862,17.9363079,-0.00010291,-9.54E-05,-7.12E-05,-0.00043987,0.00080907,-0.00074385,17.05587959
19:56:55,-5.96E-05,1.80E-05,-0.00086774,0.00410489,-0.0032053,0.00217348,18.03204536,5.69E-05,3.14E-05,-1.78E-05,0.00327422,0.00102511,0.00099723,17.92862892,-1.04E-05,-2.49E-05,4.34E-05,5.15E-05,-0.00011775,-0.00097549,17.04806709
19:56:56,-5.31E-05,-0.00025778,-0.00017352,-0.00743509,0.00639735,0.00405468,18.04925918,-7.77E-05,6.16E-05,3.60E-05,-0.00047977,-0.00072694,0.00070062,17.92889213,-3.73E-05,-6.80E-05,1.53E-05,0.00018106,6.75E-05,-0.00026178,17.05654144
19:56:57,-0.00097123,-8.93E-05,-0.00122491,-0.00194781,0.00091943,0.00118132,18.04475593,5.20E-05,0.00024499,-0.00011123,0.00104035,-0.0001249,-0.00047655,17.92770195,-6.45E-05,-8.95E-05,-1.59E-05,-5.07E-05,-0.00014567,-0.00045659,17.06091117
19:56:58,0.00054966,-0.0003177,0.00012794,0.00793756,-0.00810881,-0.00512397,18.03164863,-3.15E-05,0.00016029,-9.05E-05,0.00063015,-0.00099772,-0.00029429,17.91728782,-3.54E-05,-2.57E-05,4.47E-05,-0.00025003,-0.00027815,-0.00048161,17.07074546
19:56:59,-0.00089713,6.96E-05,-0.00117671,-0.00506897,0.00479327,0.00281918,18.05414009,7.05E-06,0.00011965,6.52E-06,-0.00151434,0.00068465,0.00153716,17.92542457,3.30E-06,-1.20E-05,7.94E-05,-7.58E-05,0.00089365,-0.00018568,17.08651733
19:57:00,-0.00036564,0.00024464,-0.00065245,0.01067784,-0.01475894,-0.00822802,18.04651069,-1.79E-05,0.0002211,-5.34E-05,-0.00123466,0.00096625,0.00157877,17.94410705,6.84E-06,-1.98E-05,0.00011864,-0.00030307,6.82E-05,-0.00107756,17.06712532
19:57:01,-3.55E-05,7.55E-05,-0.00031267,0.0103225,-0.01184294,-0.00719424,18.05639648,1.12E-05,0.00019852,-1.79E-05,-0.0019417,0.00064734,0.00170437,17.92754745,-1.42E-05,-7.57E-05,4.28E-05,-0.00077234,-0.00020245,-0.00053877,17.06090736
19:57:02,-0.00029956,0.00022765,-0.00091125,0.00781454,-0.00818306,-0.00457472,18.03078651,-4.98E-05,0.00019852,-1.30E-05,-0.00192317,0.00033122,0.00040393,17.93550872,-1.23E-06,-3.97E-05,0.00010005,-2.00E-05,0.00056848,-0.0006687,17.05838584
19:57:03,-8.06E-05,6.01E-05,-0.00017051,0.01470677,-0.01970117,-0.00855954,18.03317451,-7.12E-05,0.00025952,-0.00011045,-0.00119853,0.00056383,0.00189943,17.93789863,-2.12E-05,-8.78E-05,3.70E-05,9.13E-05,-7.45E-06,-0.00053869,17.07391166
19:57:04,-0.00055224,0.00050963,-0.00031005,0.01490336,-0.01885153,-0.00919981,18.04343223,6.00E-05,0.00017559,-0.00012161,0.00118865,-5.03E-05,0.00292522,17.91856384,-2.27E-05,-5.19E-05,6.58E-05,-0.00011554,-0.00026622,-0.00055841,17.06792831
19:57:05,0.00031704,-0.00012216,0.00047179,0.01209666,-0.01108125,-0.00660886,18.04034042,-1.99E-05,0.00022908,-0.00017409,0.00219177,0.00098184,0.00163005,17.9210453,-2.34E-05,-6.49E-05,5.57E-05,8.21E-05,0.00096795,-0.00121668,17.06050872
19:57:06,-0.00077272,0.00030181,-0.00074533,0.00363217,-0.00959168,-0.00281347,18.03456115,5.49E-06,0.00017933,-8.82E-05,0.00107748,0.00138652,0.00341646,17.93074607,-1.31E-05,-8.50E-05,5.02E-05,8.83E-05,-8.05E-05,-0.0008734,17.0625
19:57:07,-0.00045855,-7.79E-05,-0.00099422,0.00139831,0.00062291,0.00029141,18.02979278,-8.06E-05,0.00028169,-5.31E-05,0.00155938,-0.00070834,0.00078405,17.91220855,-5.29E-05,-8.02E-05,1.78E-05,-0.00042136,0.00040138,-0.00051208,17.07944869
19:57:08,-0.00029041,2.89E-06,-0.00043026,0.0021213,-0.00139785,-0.00258175,18.02899932,-3.39E-05,0.00015672,-4.10E-05,0.00041005,-0.00034699,-0.00039314,17.91075134,-2.07E-05,-5.18E-05,6.59E-05,0.00038482,-0.00019214,-0.00035448,17.04674339
19:57:09,-0.00027884,0.00026638,-0.00014563,0.00134955,-0.00253548,-0.00138871,18.03158187,-4.39E-05,0.00022766,6.68E-05,1.82E-05,-0.00052291,-0.00033917,17.90565299,-2.46E-05,-0.00012054,6.25E-05,-0.00056815,0.00041065,-0.00093807,17.04737281
19:57:10,-0.0010743,0.00033191,-0.00110365,0.01074977,-0.01225145,-0.00674826,18.04193115,1.31E-05,7.48E-05,-0.00016428,-0.00030687,0.00078675,0.0001717,17.92409706,-6.46E-05,-6.51E-05,3.36E-05,-0.00052175,-9.11E-05,-0.00119801,17.06661415
19:57:11,-0.00099634,0.00026676,-0.00150494,0.01212448,-0.01592072,-0.009665,18.04272842,-4.27E-05,0.00013208,2.92E-05,0.00101219,-0.00029081,-0.00067357,17.92635345,4.29E-05,3.27E-06,0.00014167,-0.00020576,-0.00020254,-0.0004736,17.05440521
19:57:12,8.01E-05,0.00014285,-0.00025955,-0.00149362,0.00233759,0.00370266,18.03191184,-3.61E-05,0.00017714,-9.91E-05,0.0001505,-1.33E-05,-3.84E-06,17.92796516,5.17E-05,-4.48E-05,0.00014254,-0.0003473,0.00048459,-0.00050272,17.07839012
19:57:13,-0.00024996,0.00033217,0.0005515,0.00363461,-0.0056936,-0.00234529,18.04060554,2.69E-05,6.18E-05,-0.00014076,-0.00279621,0.00110269,0.00195515,17.93365097,9.52E-06,-2.98E-05,0.00010181,0.00023997,0.00054052,-0.0007616,17.06714439
19:57:14,1.02E-06,-4.31E-05,-0.00049432,0.00670951,-0.00658853,-0.00477849,18.04157829,-4.35E-05,7.81E-05,-1.84E-05,-0.00021102,8.90E-05,6.11E-05,17.92889213,-6.63E-06,-1.43E-05,7.70E-05,-0.00044923,0.00010464,-0.00131837,17.06316184
19:57:15,-0.0005591,2.76E-05,-0.0012711,0.01143715,-0.01553969,-0.00698057,18.04923057,-4.96E-05,0.00021652,9.46E-06,0.00119793,0.00082394,0.00187155,17.9175949,-9.80E-07,-1.43E-05,0.00012295,-0.00056802,-0.00023979,-0.00104953,17.0412693
19:57:16,-0.00100251,3.40E-05,-0.00219913,0.00975905,-0.01151031,-0.0070401,18.02198028,-1.93E-05,0.00018799,0.00010732,0.00234729,-6.90E-05,0.00044108,17.92664146,-6.23E-05,-9.20E-05,4.77E-05,-0.00064388,0.00049385,-0.00103113,17.07402038
19:57:17,0.0002177,-0.00038585,-0.00136428,0.00151675,-0.00062214,-0.00052488,18.02308845,-5.53E-05,0.00017585,1.65E-05,0.00249837,-0.00125629,-0.00035775,17.93630599,2.78E-06,-2.42E-05,7.64E-05,0.00044437,-0.00042537,-0.00020425,17.06117248
19:57:18,0.00081108,0.0001475,0.00040603,0.0006846,-0.00175938,-0.00132132,18.04899406,-3.04E-06,0.00016912,-6.74E-05,-0.00185169,0.00090462,0.00172022,17.94676971,1.00E-07,-6.53E-05,8.17E-05,-0.0001341,0.0002715,-0.00031734,17.06660461
19:57:19,0.00044159,-5.77E-06,2.92E-05,0.00352095,-0.00603233,-0.00186807,18.04131317,6.04E-05,0.00015026,-0.00014871,0.00137407,-0.00034684,-0.00014287,17.92544937,5.23E-05,-3.06E-05,0.000149,-0.00028245,-0.0003773,-0.00079016,17.06700134
19:57:20,-6.55E-05,-8.93E-05,-0.0003119,-0.00853812,0.00968789,0.00498183,18.03191184,-4.08E-06,0.000108,-6.44E-05,0.00017832,-0.0006341,0.00108066,17.9363079,3.45E-05,-3.21E-05,0.00016938,0.00016251,0.00067922,-0.00037293,17.04674339
19:57:21,0.00047595,-0.00026488,0.00057317,0.00179542,-0.00055704,-0.00150014,18.0484333,-4.68E-05,9.60E-05,-5.41E-06,-0.0033257,0.00038752,0.00124921,17.94572639,9.03E-05,8.32E-06,0.00019521,-0.0002244,0.00073588,-0.00051078,17.04790306
19:57:22,-0.00038527,0.00029768,-0.00036746,0.00192667,-0.00669056,-0.00231303,18.03866577,-6.28E-05,0.00024912,-7.33E-06,-0.00012758,-0.00030982,-2.24E-05,17.94743156,5.89E-05,7.82E-06,0.00015465,0.00049621,-9.02E-05,-0.00081784,17.0390625
19:57:23,0.00016153,2.71E-05,3.45E-05,-0.00268007,0.00521092,0.00331348,18.0391941,-9.69E-05,0.00016408,-3.68E-05,-0.0030937,0.00110838,0.00032058,17.92518615,2.98E-05,-3.50E-05,0.0001315,0.00050554,0.0002251,-6.71E-05,17.05429077
19:57:24,1.48E-05,-0.00045177,-0.00179492,0.00855974,-0.00900572,-0.00549944,18.01982116,4.32E-06,0.00010555,4.90E-06,0.00075396,-0.00137436,0.00078332,17.93684005,-2.03E-05,-8.62E-05,8.02E-05,-5.33E-05,0.00078055,-0.00091088,17.05206108
19:57:25,0.00030744,-0.00036505,-0.00013033,0.00159297,-0.00179644,-0.00069085,18.01059341,-8.14E-05,0.00024033,7.84E-06,7.64E-05,0.0004873,-2.24E-05,17.93657302,4.03E-05,-1.10E-06,0.00016562,0.00042215,0.00073507,-0.00117941,17.050848
19:57:26,-0.00072154,6.69E-05,-0.00044692,0.01214119,-0.01807308,-0.0083565,18.01933288,-5.98E-05,0.00018967,-1.71E-06,0.00076233,0.00043181,0.00188706,17.93696975,-1.10E-05,-7.62E-05,9.26E-05,-0.00020811,2.50E-06,-0.00011344,17.04237365
