"Time","Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C","Ax3, g","Ay3, g","Az3, g","Wx3, dps","Wy3, dps","Wz3, dps","T3, C"
"21:19:43","-0.00183","-0.12541599","0.000183","0.0","-0.13999999","-0.2275","17.8125","-0.000244","-0.12614799","-0.000732","0.091875","0.38499999","0.04375","17.6875","-0.001159","-0.12462301","6.1e-05","-0.161875","-0.27125","-0.161875","16.8125"
"21:19:43","-0.00257277","-0.12554234","-0.00059432","0.0309205","-0.15647048","-0.24099662","17.79874801","1.076e-05","-0.12520165","-0.00043896","0.09046434","0.3879359","0.04191043","17.68600273","-0.00157936","-0.12499997","-5.529e-05","-0.15595622","-0.26910533","-0.15901564","16.8125"
"21:19:45","-0.00202712","-0.12574727","-0.00036639","0.0125398","-0.1352534","-0.23235819","17.80082321","6.709e-05","-0.12538225","-0.00042933","0.08867968","0.38876209","0.0432484","17.68444824","-0.00163042","-0.12504346","-5.31e-05","-0.15637631","-0.26910436","-0.1590049","16.80095481"
"21:19:46","-0.00208397","-0.12570495","3.574e-05","0.02185642","-0.14430051","-0.23819117","17.79471778","8.017e-05","-0.12538199","-0.00048567","0.08744424","0.38995118","0.04397294","17.68259048","-0.00164169","-0.12499905","-2.564e-05","-0.156367","-0.26925289","-0.1589679","16.80520248"
"21:19:47","-0.00218862","-0.1261161","-0.00125186","0.02122479","-0.1428423","-0.23622205","17.80851936","-2.616e-05","-0.12526304","-0.00043892","0.09102973","0.38774933","0.04114918","17.68086433","-0.00162278","-0.1250541","-4.002e-05","-0.1564228","-0.26911351","-0.15819687","16.81382751"
"21:19:48","-0.00193149","-0.12554394","-0.00037028","0.01955719","-0.14134042","-0.23418335","17.79109001","1.609e-05","-0.12535257","-0.00031149","0.0892128","0.38893758","0.04235373","17.68484115","-0.00160729","-0.12506072","-3.024e-05","-0.15655077","-0.26973261","-0.15902688","16.79375076"
"21:19:49","-0.00232916","-0.12566792","-0.00050422","0.02139097","-0.14350924","-0.23737637","17.78603744","0.00012511","-0.12539281","-0.00055095","0.09318754","0.386536","0.03867689","17.6595745","-0.0015995","-0.12501503","-2.622e-05","-0.15692305","-0.26946277","-0.15817047","16.81236648"
"21:19:50","-0.00155971","-0.12594006","-3.73e-05","0.01516854","-0.13319128","-0.23076035","17.78556251","1.917e-05","-0.12535061","-0.00045782","0.09207007","0.38649559","0.03934713","17.67078018","-0.00159766","-0.12501977","-5.116e-05","-0.15671063","-0.2691786","-0.15953433","16.79670906"
"21:19:51","-0.00181313","-0.12599492","-0.00102701","0.01864493","-0.14342551","-0.23534705","17.7985363","5.685e-05","-0.12530065","-0.0004061","0.09058116","0.38665687","0.03958908","17.67047882","-0.00157315","-0.12498078","-3.816e-05","-0.15615985","-0.26961159","-0.15834731","16.80877685"
"21:19:52","-0.0019906","-0.12595105","-0.00053955","0.01627387","-0.13677681","-0.23271112","17.80706024","-1.904e-05","-0.12532768","-0.00044086","0.09278537","0.38742418","0.04046182","17.68550872","-0.00165879","-0.12500034","-7.77e-06","-0.15638552","-0.26995887","-0.15829911","16.83054733"
